用户ID,日期,年龄,性别,职业,睡眠时长(小时),睡眠质量(1-10),压力水平(1-10),咖啡因摄入量(杯),酒精摄入量(杯),运动时长(小时),屏幕使用时间(小时),睡眠环境,入睡时间,醒来时间
1,2025-05-13,56,女,学生,5.623549707340619,2.4311947497419886,6.31347004745349,0,0,0.3591576842195144,4.3138400653789475,安静,22:21,03:41
1,2025-05-14,56,女,学生,5.123158036175368,2.6995244228309927,7.957837022455829,0,1,0.2889968594877778,0.2905690158856409,一般,22:56,03:37
1,2025-05-15,56,女,学生,8.116704376680206,4.903204278017424,6.279521691759952,0,0,0.31992384496822646,4.921159731569958,安静,22:06,06:46
1,2025-05-16,56,女,学生,9.294814051250128,4.739447188680106,7.61235355699276,0,0,0.7467634736309567,1.6687345250434666,安静,22:53,08:32
1,2025-05-17,56,女,学生,6.9279345794879665,3.2434566704364607,5.4868305725463795,2,2,0.19727439714046774,1.1250586796946687,安静,22:44,05:58
1,2025-05-18,56,女,学生,9.852633690788721,2.944512744455794,6.475051764274157,0,0,0.29692339990821237,4.417514433261302,安静,22:34,08:41
1,2025-05-19,56,女,学生,8.530235193300479,4.682687315943629,9.008167087496508,4,0,0.4466803636188035,2.8844250369705495,安静,22:26,07:22
1,2025-05-20,56,女,学生,5.58444320711202,2.0471983952502963,8.656896514194028,3,2,1.5116888760880018,2.1194137923989365,安静,22:51,04:20
1,2025-05-21,56,女,学生,10.070925006695585,1.0,7.923709497493672,0,1,0.07442106109533259,3.7855054774477512,嘈杂,22:27,08:46
1,2025-05-22,56,女,学生,9.043736261750544,1.8562804625705072,7.545801849388159,1,2,0.3967758376066044,4.626178828384132,安静,22:00,06:58
1,2025-05-23,56,女,学生,7.515584771187873,5.54199497042731,4.857402762700454,2,0,0.07538877738487576,2.8690320158519613,安静,22:53,06:20
1,2025-05-24,56,女,学生,9.826031594987034,2.8451364124251803,4.864899803418496,1,0,0.0,3.4602291868261745,安静,22:01,07:42
1,2025-05-25,56,女,学生,8.95754717875376,4.024072547282731,6.926427557126866,1,2,0.489586469088427,1.746982943570702,嘈杂,22:10,06:46
1,2025-05-26,56,女,学生,6.428918298676178,3.3396487526344716,6.050305136200014,3,0,0.5084298390044605,1.7043694049925457,一般,22:35,05:16
1,2025-05-27,56,女,学生,7.984548279866447,5.068596987126879,6.504366239649818,0,1,0.4569613311107932,4.425505663572695,安静,22:56,07:11
1,2025-05-28,56,女,学生,7.556915395503137,3.491376066397995,7.88685788269958,2,1,0.5188473799199548,4.252394548019259,一般,22:18,05:36
1,2025-05-29,56,女,学生,8.583879584094813,4.245882901770184,7.498152194748411,3,1,0.5678864808496624,4.7711021488649585,安静,22:28,06:50
1,2025-05-30,56,女,学生,6.822196716345433,4.641655090741062,5.4117645712959215,1,1,0.7203503194640137,2.0682541070578693,安静,22:07,04:41
1,2025-05-31,56,女,学生,9.969978761877302,1.9588083275649881,8.463478562341647,1,0,0.10442895177256623,4.580580863057294,安静,22:07,08:12
1,2025-06-01,56,女,学生,10.887324958952224,1.933649284581663,7.859615190436626,1,0,0.6877002043295019,2.2142636653755763,安静,22:16,09:06
1,2025-06-02,56,女,学生,7.960322838835442,2.640268634119465,7.338573242570416,0,2,0.4627602833355021,4.6105112269216075,嘈杂,22:22,05:52
1,2025-06-03,56,女,学生,7.843891255794074,4.792812681166808,4.429071033641212,1,2,0.6890224815803023,6.144406208454843,安静,22:01,05:31
1,2025-06-04,56,女,学生,9.005676580761106,2.0918517015526765,6.378718605754959,0,2,0.0866991896128727,2.093262440127316,一般,22:12,07:16
1,2025-06-05,56,女,学生,6.590920168962555,2.4101166682968955,7.795168666186175,0,2,0.5696888474529215,3.764271383078482,安静,22:22,04:53
1,2025-06-06,56,女,学生,6.571207910250937,3.0111518635318753,8.854745851225168,0,2,0.7058780571123541,1.0809261932155225,安静,22:32,05:00
1,2025-06-07,56,女,学生,8.841233945135961,3.4506151778670198,8.217909691537038,3,2,1.1431832267975977,4.450878533477017,一般,22:29,07:27
1,2025-06-08,56,女,学生,9.348577384236588,2.0421072072660165,6.323349256268946,2,0,0.26845427667297345,5.991952595912231,安静,22:53,08:02
1,2025-06-09,56,女,学生,9.078774860872286,1.0,8.952285467957944,0,1,0.6131888796381227,5.977026479719235,一般,22:15,07:11
1,2025-06-10,56,女,学生,7.179106360337588,4.475338560252616,6.657566417597723,0,2,0.6331458284438685,4.661951080144005,安静,22:38,05:31
1,2025-06-11,56,女,学生,7.411402496370789,4.827028970482825,3.911984178846038,1,2,0.3679866539909049,3.696110865929137,安静,22:00,06:06
2,2025-05-13,22,女,蓝领,6.084111196391648,2.806801135917579,6.6957732273295445,4,0,0.5842975603205098,2.565950720269109,安静,22:25,04:21
2,2025-05-14,22,女,蓝领,5.737312515505961,1.3498787086154627,5.1523718228509425,2,0,0.6086041735827412,4.3719712010535865,一般,22:08,03:42
2,2025-05-15,22,女,蓝领,11.026452132878447,1.0,8.921374362880924,1,0,0.2992391815456361,5.242905976620162,嘈杂,22:12,09:33
2,2025-05-16,22,女,蓝领,6.376394110818801,2.3638312484410586,7.57523979846377,1,1,0.34304357192386703,4.923714481671498,一般,22:51,05:11
2,2025-05-17,22,女,蓝领,12.0,1.0,7.987189438147928,1,0,0.06780417835795499,3.903976481378808,嘈杂,22:52,10:56
2,2025-05-18,22,女,蓝领,8.154523404452561,4.897769316898572,6.37612324495884,1,1,0.2523508409622466,3.01792123752051,安静,22:37,07:10
2,2025-05-19,22,女,蓝领,8.26086012048183,5.446352450262385,5.628934051270857,0,0,0.025503822315636415,3.6185135213660846,安静,22:44,06:56
2,2025-05-20,22,女,蓝领,6.713935656414755,3.3694282749208986,8.429515863699809,0,1,0.943475634446739,2.1807982396298646,安静,22:44,04:53
2,2025-05-21,22,女,蓝领,7.812569438582631,4.103750650889022,5.956360855947343,0,1,0.6942674327041141,4.304039802357288,一般,22:56,06:58
2,2025-05-22,22,女,蓝领,5.384472713409945,1.9424325685076418,5.123143444050942,1,2,0.0,4.398639988743712,安静,22:56,03:59
2,2025-05-23,22,女,蓝领,11.716102889413555,1.0,6.998688841902443,2,2,0.931026401764866,2.4474500344882553,嘈杂,22:52,10:30
2,2025-05-24,22,女,蓝领,7.915345284475487,5.382070450921755,5.490259846161518,1,0,0.2605294345905401,1.4932327642874328,安静,22:08,06:02
2,2025-05-25,22,女,蓝领,10.961142004761731,1.0,5.523993330833947,1,2,1.0054054893816864,0.904527034363733,嘈杂,22:55,09:56
2,2025-05-26,22,女,蓝领,9.850795790980424,1.2187163252246553,5.685585336170494,1,1,0.3152642465696866,5.654275202116649,一般,22:40,08:33
2,2025-05-27,22,女,蓝领,5.131270738904652,1.8865260496233291,5.490286279896892,0,2,0.6027370754022543,6.367294409764142,一般,22:52,04:14
2,2025-05-28,22,女,蓝领,7.3114820998215615,3.9339278672847353,3.9906636055213274,0,0,0.23836887037893228,2.4934641332739567,一般,22:02,05:15
2,2025-05-29,22,女,蓝领,9.85055259512923,2.0548054807683256,6.490626536442715,2,0,0.33102241656189113,7.308886686816338,安静,22:10,08:22
2,2025-05-30,22,女,蓝领,7.106245082966044,4.942007084315142,5.875885856390952,0,2,0.98317353896699,5.410990085883228,安静,22:56,05:54
2,2025-05-31,22,女,蓝领,11.9002143893062,1.6708388554122768,6.500490984957214,1,0,0.7905885453882033,4.468599183084871,安静,22:19,10:23
2,2025-06-01,22,女,蓝领,9.997526281531401,3.248200508746874,6.340306692186411,1,0,0.0,4.871908273391126,安静,22:10,07:50
2,2025-06-02,22,女,蓝领,8.46780716441506,4.921350573096386,4.979529134836518,0,0,0.48119627081804844,4.932713480751858,一般,22:18,06:37
2,2025-06-03,22,女,蓝领,6.987847824766561,2.832352137767547,7.957318003838967,1,2,0.46789089201363265,1.9471365163709389,安静,22:44,05:02
2,2025-06-04,22,女,蓝领,6.7802729164366555,2.8363778930668087,5.978934199071599,2,0,0.755406279380153,2.569454416196672,一般,22:55,05:31
2,2025-06-05,22,女,蓝领,11.883489735381447,1.0,5.9232624174017605,1,1,0.6200656911221113,2.3232321592800464,一般,22:50,10:59
2,2025-06-06,22,女,蓝领,6.465054078201463,2.323340208054292,5.032535988646944,1,0,0.031848225685198794,3.8100341945016156,安静,22:40,05:00
2,2025-06-07,22,女,蓝领,7.857067639801084,4.226666142135027,6.38440493383652,2,0,0.0,5.101184258352127,安静,22:58,07:04
2,2025-06-08,22,女,蓝领,6.964511776768276,3.6343644748834745,7.233802669363407,0,2,0.43812831231324006,0.0830743732841639,一般,22:10,05:24
2,2025-06-09,22,女,蓝领,8.24785752165827,3.691225298755161,6.799714919035494,0,2,0.6584949828891129,3.811255227738704,安静,22:43,07:07
2,2025-06-10,22,女,蓝领,6.296294766129364,4.256453242620677,7.347284289084017,2,2,0.6915777376332122,1.0077199065965603,安静,22:32,04:20
2,2025-06-11,22,女,蓝领,6.571454082796084,5.072754392586747,3.181148342113578,1,0,0.8018878427643321,2.634662195715277,安静,22:10,04:58
3,2025-05-13,32,男,白领,8.725066512179998,5.525025553926983,3.78945414086178,1,0,0.5550535469263207,4.029736434833999,安静,22:36,07:28
3,2025-05-14,32,男,白领,7.225746225535234,5.379819877616061,4.04659463920608,0,1,0.6960199213744659,1.5633134165769413,嘈杂,22:17,04:59
3,2025-05-15,32,男,白领,7.640375796475028,2.981085196529593,6.647010570678961,1,2,0.0,5.766204827171789,安静,22:01,05:10
3,2025-05-16,32,男,白领,9.635158157075553,2.8794747508876926,4.8388625897696,1,2,0.8644166179059645,2.178704533267609,一般,22:26,08:03
3,2025-05-17,32,男,白领,8.726114966027861,4.707422758149909,5.301162758954469,1,0,0.5214698711658178,2.7835138298523248,一般,22:37,07:35
3,2025-05-18,32,男,白领,5.657805380626858,2.4363352514186114,5.7091450160016315,1,1,0.19441416556865382,7.964295392232459,安静,22:25,04:40
3,2025-05-19,32,男,白领,6.726091038160826,5.1706041977980535,2.8284498659683854,0,0,0.14666433755229402,2.479607619209138,安静,22:25,04:41
3,2025-05-20,32,男,白领,8.392266179445027,3.162662006335785,8.660789296033336,1,1,0.23734249195644003,3.806915314287369,嘈杂,22:30,07:05
3,2025-05-21,32,男,白领,5.735003974453738,1.0,7.525674089121866,3,2,0.31177433468675686,2.75691613560313,安静,22:53,04:54
3,2025-05-22,32,男,白领,12.0,1.390575410051626,5.481360921597202,1,0,0.6848647450904183,2.5543810639555486,一般,22:25,10:07
3,2025-05-23,32,男,白领,7.6757186912114035,3.9203363889446288,5.637641941156515,1,0,0.36695603225441337,3.6239839391675477,嘈杂,22:51,06:04
3,2025-05-24,32,男,白领,10.981565788098333,1.0992269349930852,4.459611080888835,1,2,0.2982596451888454,2.517335349213602,安静,22:19,09:25
3,2025-05-25,32,男,白领,8.181881718124213,4.273395139149144,4.448628433860967,2,1,0.09118891893800629,0.6331194801589639,一般,22:48,06:20
3,2025-05-26,32,男,白领,8.019887239207653,4.143017829310915,3.8802947642348635,1,2,0.57044422603867,6.227029411941674,安静,22:50,05:46
3,2025-05-27,32,男,白领,7.478763880463533,2.8866350590154104,4.138270621941824,3,2,0.9244891074489988,3.6875690467496702,嘈杂,22:02,04:51
3,2025-05-28,32,男,白领,9.337060392880966,4.226153421033418,3.0018542641096673,0,2,0.7437681789089192,0.678962346088233,一般,22:34,08:02
3,2025-05-29,32,男,白领,9.498020817320496,2.5245031350821945,3.2848112590836576,2,1,0.4172571303194025,1.9137031228499866,安静,22:32,07:48
3,2025-05-30,32,男,白领,8.646477264993754,3.9269193101175506,2.8187615563575568,3,0,0.3624464457420572,5.132810416433816,安静,22:29,07:26
3,2025-05-31,32,男,白领,11.235209080125129,2.223383341654693,4.153950702051663,0,0,0.3365242739573151,4.098704171528106,一般,22:31,09:44
3,2025-06-01,32,男,白领,8.942230980513422,4.7815457997346975,4.61001348535391,0,0,0.09554437336828608,4.614896141034072,安静,22:22,07:20
3,2025-06-02,32,男,白领,9.73601639588282,1.8093686482959244,5.504790530535725,2,0,1.101672213691986,4.576387369689575,一般,22:11,08:12
3,2025-06-03,32,男,白领,7.9044645520826995,2.823531401016265,8.142370384931136,2,2,0.31255442669129635,3.5391365753162507,安静,22:35,06:32
3,2025-06-04,32,男,白领,7.684227770185985,2.141738885449118,6.506820176580904,4,2,0.4850574104520272,1.8213276079599372,安静,22:51,06:34
3,2025-06-05,32,男,白领,8.067755027393169,6.109660729753759,3.707278682263476,1,0,0.0,2.973702039539691,安静,22:39,06:30
3,2025-06-06,32,男,白领,5.356997821137035,1.5873320947022014,4.094859880660534,3,0,0.4076643149960563,2.511652367035696,一般,22:11,04:07
3,2025-06-07,32,男,白领,11.435733573531744,1.0,4.874840424266115,3,2,0.906453551711975,5.0429639454545985,安静,22:15,09:43
3,2025-06-08,32,男,白领,11.00608845285295,2.2262980476153222,4.896203402304511,0,1,0.2542206819335593,4.42356312374681,安静,22:30,09:23
3,2025-06-09,32,男,白领,8.12651400446226,5.336057814032484,4.7400661301791285,1,0,0.11777930451400287,5.621060691504152,安静,22:42,06:48
3,2025-06-10,32,男,白领,10.269533303991835,1.0,3.353520967606255,0,0,1.112718926814222,4.227762657844384,一般,22:43,09:12
3,2025-06-11,32,男,白领,8.220734139481799,3.167790635374886,6.293652483533538,3,2,1.2793113929703153,2.5244435838949597,安静,22:38,06:47
4,2025-05-13,37,女,白领,5.399658653267322,3.68880477073255,1.981725877539951,1,0,0.3054344431821888,4.70278599806025,安静,22:33,04:00
4,2025-05-14,37,女,白领,8.286047165529332,4.1904888894904175,6.224482461691085,1,0,0.3752397975764646,3.343925364800545,嘈杂,22:53,07:19
4,2025-05-15,37,女,白领,6.8520576337238,5.211429847223808,2.032464314491325,2,0,0.2884367791010657,2.4445699056103303,安静,22:33,05:56
